State Abbreviation,State,District Number,Voting-Age Population,Men,Women,Above Poverty Level,Below Poverty Level,Congressional District
PA,Pennsylvania,18,544390,254384,290006,522202,71545,Pennsylvania-18
RI,Rhode Island,1,395409,188916,206493,376196,49877,Rhode Island-1
RI,Rhode Island,2,407668,195852,211816,391434,33551,Rhode Island-2
SC,South Carolina,1,613912,295032,318880,605071,53615,South Carolina-1
SC,South Carolina,2,537342,255658,281684,520411,57271,South Carolina-2
SC,South Carolina,3,534772,258621,276151,517074,70663,South Carolina-3
SC,South Carolina,4,533533,251842,281691,518231,50729,South Carolina-4
SC,South Carolina,5,552247,262084,290163,541112,65432,South Carolina-5
SC,South Carolina,6,506843,241997,264846,469768,95495,South Carolina-6
SC,South Carolina,7,571428,265082,306346,558493,89683,South Carolina-7
SD,South Dakota,At-large,647089,323519,323570,623323,73236,South Dakota-At-large
TN,Tennessee,1,563918,271986,291932,549414,75115,Tennessee-1
TN,Tennessee,2,583056,278806,304250,568291,67235,Tennessee-2
TN,Tennessee,3,571456,274322,297134,554284,73597,Tennessee-3
TN,Tennessee,4,590540,284223,306317,576455,71929,Tennessee-4
TN,Tennessee,5,563797,267201,296596,545555,62163,Tennessee-5
TN,Tennessee,6,591603,286118,305485,580485,63405,Tennessee-6
TN,Tennessee,7,578288,283131,295157,561453,61291,Tennessee-7
TN,Tennessee,8,525277,252231,273046,508600,59907,Tennessee-8
TN,Tennessee,9,507231,229788,277443,494516,104034,Tennessee-9
TX,Texas,1,511974,243891,268083,489794,66257,Texas-1
TX,Texas,2,520180,252870,267310,513178,45949,Texas-2
TX,Texas,3,563318,267900,295418,559484,31157,Texas-3
TX,Texas,4,543354,264225,279129,527224,60598,Texas-4
TX,Texas,5,480610,237717,242893,457691,49171,Texas-5
TX,Texas,6,554709,265398,289311,548599,40104,Texas-6
TX,Texas,7,448262,209156,239106,447412,32347,Texas-7
TX,Texas,8,584039,292242,291797,554256,51546,Texas-8
TX,Texas,9,445634,211591,234043,443690,60975,Texas-9
TX,Texas,10,593629,288737,304892,583103,45323,Texas-10
TX,Texas,11,542570,270606,271964,524915,56229,Texas-11
TX,Texas,12,572411,275420,296991,560045,51359,Texas-12
TX,Texas,13,493390,251525,241865,462703,54698,Texas-13
TX,Texas,14,532153,266577,265576,501418,55633,Texas-14
TX,Texas,15,435170,216790,218380,423944,69316,Texas-15
TX,Texas,16,458940,227861,231079,446926,66463,Texas-16
TX,Texas,17,550601,266019,284582,522495,86479,Texas-17
TX,Texas,18,480387,233867,246520,462858,75981,Texas-18
TX,Texas,19,509891,253073,256818,478854,73898,Texas-19
TX,Texas,20,549483,266701,282782,538664,78203,Texas-20
TX,Texas,21,622228,300234,321994,609561,62856,Texas-21
TX,Texas,22,577164,283653,293511,572542,37033,Texas-22
TX,Texas,23,507547,255762,251785,495087,64674,Texas-23
TX,Texas,24,503766,241559,262207,501043,27589,Texas-24
TX,Texas,25,570238,286160,284078,538733,49268,Texas-25
TX,Texas,26,605249,293998,311251,596433,37984,Texas-26
TX,Texas,27,517267,249089,268178,504347,66523,Texas-27
TX,Texas,28,434305,211486,222819,431020,71215,Texas-28
TX,Texas,29,369239,184052,185187,368373,53056,Texas-29
TX,Texas,30,479082,226629,252453,466444,80570,Texas-30
TX,Texas,31,602236,291279,310957,588627,45276,Texas-31
TX,Texas,32,505867,241389,264478,501485,33312,Texas-32
TX,Texas,33,360226,177253,182973,356444,57028,Texas-33
TX,Texas,34,424863,210491,214372,410889,76627,Texas-34
TX,Texas,35,532967,267072,265895,519488,89634,Texas-35
TX,Texas,36,519385,256534,262851,500765,53382,Texas-36
UT,Utah,1,521517,261025,260492,515287,40922,Utah-1
UT,Utah,2,529608,266242,263366,518139,54116,Utah-2
UT,Utah,3,517848,257021,260827,505535,48167,Utah-3
UT,Utah,4,518368,257209,261159,513240,27894,Utah-4
VT,Vermont,At-large,500274,244517,255757,478729,51013,Vermont-At-large
VA,Virginia,1,590281,288174,302107,575553,32713,Virginia-1
VA,Virginia,2,559397,278026,281371,525667,39039,Virginia-2
VA,Virginia,3,559137,265323,293814,534234,67289,Virginia-3
VA,Virginia,4,579606,277950,301656,552122,69142,Virginia-4
VA,Virginia,5,578531,277524,301007,549679,71010,Virginia-5
VA,Virginia,6,582756,278155,304601,551076,74487,Virginia-6
VA,Virginia,7,588061,278885,309176,579054,42425,Virginia-7
VA,Virginia,8,533417,259240,274177,528006,29010,Virginia-8
VA,Virginia,9,567315,281110,286205,537046,101298,Virginia-9
VA,Virginia,10,565197,278318,286879,561118,18701,Virginia-10
VA,Virginia,11,509988,252893,257095,503481,28904,Virginia-11
WA,Washington,1,519555,259298,260257,513626,31799,Washington-1
WA,Washington,2,558321,277303,281018,547881,51230,Washington-2
WA,Washington,3,544994,267783,277211,540961,46668,Washington-3
WA,Washington,4,443137,219857,223280,436739,48302,Washington-4
WA,Washington,5,551532,270788,280744,528622,71510,Washington-5
WA,Washington,6,570991,286913,284078,555996,50470,Washington-6
WA,Washington,7,600321,299820,300501,585893,51450,Washington-7
WA,Washington,8,522952,255555,267397,518688,34677,Washington-8
WA,Washington,9,499184,249316,249868,492776,44073,Washington-9
WA,Washington,10,544552,269010,275542,533246,46965,Washington-10
WV,West Virginia,1,486327,240272,246055,467069,68380,West Virginia-1
WV,West Virginia,2,487208,238345,248863,477780,65445,West Virginia-2
WV,West Virginia,3,457623,222773,234850,444168,88765,West Virginia-3
WI,Wisconsin,1,539789,265317,274472,527799,43388,Wisconsin-1
WI,Wisconsin,2,577976,282335,295641,563251,59134,Wisconsin-2
WI,Wisconsin,3,566700,282813,283887,539696,65049,Wisconsin-3
