State,State Abbreviation,District Number,Congressional District,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Men,Women,Above Poverty Level,Below Poverty Level,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic
Connecticut,CT,4,CT-4,496370,91904,103645,191712,109109,234779,261591,485611,41943,14385,22152,98469,84003,29367,140769,107225,459833,247994,385473,58892,21594,N,N,19799,9394,70913,341510
Connecticut,CT,5,CT-5,511395,97510,105985,189558,118342,246253,265142,498350,42611,15558,31159,143865,102341,40031,106028,72413,464678,178441,428788,37035,12937,N,N,20742,10348,74862,379746
Delaware,DE,At-large,DE-At-large,720867,140123,153037,249503,178204,343826,377041,698953,72431,16821,47602,244349,149356,54332,125319,83088,656444,208407,521934,158901,15714,N,N,6555,13093,38834,495504
District of Columbia,DC,At-large,DC-At-large,526393,145434,165893,131762,83304,245922,280471,497589,72562,11472,24872,99438,81020,13643,137112,158836,490049,295948,240198,240843,19162,N,N,9019,14842,36738,219188
Florida,FL,1,FL-1,601423,129762,142425,198441,130795,300883,300540,573824,61279,11473,41396,167806,157209,66005,102192,55342,548554,157534,478730,77669,14425,N,N,7267,18881,33268,456722
Florida,FL,2,FL-2,573718,112942,125347,188569,146860,290954,282764,531429,71752,19297,49011,200868,132355,51171,77524,43492,505410,121016,471948,72643,7051,N,N,6613,12474,28069,452634
Florida,FL,3,FL-3,579993,143031,129575,180729,126658,282160,297833,550065,81167,17474,44257,173145,136650,62348,93558,52561,518262,146119,449642,94257,15798,N,N,7252,11235,51546,407799
Florida,FL,4,FL-4,614794,118537,151537,210228,134492,301588,313206,600574,46523,9782,30169,146569,135337,61260,145911,85766,574843,231677,515197,55158,21102,N,N,8382,12540,39896,483093
Florida,FL,5,FL-5,541992,141638,133383,171317,95654,254528,287464,515909,99897,17187,60577,187964,130734,51138,64654,29738,464228,94392,257422,253971,10734,N,N,5696,11808,33932,232592
Florida,FL,6,FL-6,621566,98635,119235,207124,196572,296982,324584,612618,67142,15372,44728,193189,154251,71867,95029,47130,561466,142159,524555,59921,9225,N,N,18471,6898,70307,475149
Florida,FL,7,FL-7,581583,148112,143853,179955,109663,282311,299272,558487,63702,14057,28613,131277,132231,63569,137499,74337,538913,211836,455558,61316,21799,N,N,27205,14159,136155,353215
Florida,FL,8,FL-8,610604,92846,111790,214531,191437,293057,317547,604434,56876,11745,42814,175186,135964,69417,110923,64555,556045,175478,527572,53879,11561,N,N,3277,12045,55610,478959
Florida,FL,9,FL-9,644898,137347,166586,202251,138714,313560,331338,637713,72873,22249,64916,198755,142215,70018,94758,51987,557733,146745,491703,77000,17089,N,N,38959,18829,248443,298166
Florida,FL,10,FL-10,546157,121477,151934,183021,89725,262516,283641,539800,70483,16662,43165,146227,116142,52596,118889,52476,486330,171365,328556,149037,26403,N,N,27895,12385,130233,228710
Florida,FL,11,FL-11,652135,82551,96277,196690,276617,313750,338385,637176,69985,19364,57118,232153,149365,62744,83135,48256,575653,131391,584168,42623,6265,N,N,7035,10705,57736,535611
Florida,FL,12,FL-12,605983,83666,126316,210053,185948,285091,320892,596985,61058,12341,39989,191626,133079,65873,107550,55525,553653,163075,540706,27926,13016,N,N,10067,11346,64029,490925
Florida,FL,13,FL-13,584889,100325,116090,205103,163371,281217,303672,574243,60632,12754,37677,175088,131092,55287,114308,58683,534458,172991,479723,68348,15854,N,N,5689,12961,46059,444148
Florida,FL,14,FL-14,534225,122106,143475,169888,98756,253933,280292,523819,69743,15219,34575,138443,106706,47826,123207,68249,484431,191456,381218,95829,17872,N,N,16749,21164,138740,273612
Florida,FL,15,FL-15,578715,126879,132369,192852,126615,278594,300121,570615,65321,16064,46447,195588,126432,56395,96290,41499,516204,137789,451431,84991,11201,N,N,14806,13386,103755,370973
Florida,FL,16,FL-16,638769,91026,118164,211715,217864,302288,336481,631712,57125,14980,36259,187530,139674,61955,116874,81497,587530,198371,552361,52433,10649,N,N,10954,10038,74228,493256
Florida,FL,17,FL-17,615104,81894,101025,183910,248275,301114,313990,602735,67861,15762,53658,226865,132619,55929,82747,47524,545684,130271,552198,39303,5455,N,N,9332,7256,69215,494198
Florida,FL,18,FL-18,599873,89563,111342,204824,194144,288462,311411,594476,54001,15985,39311,152802,133636,62729,121878,73532,544577,195410,493892,70096,10417,N,N,10979,14063,75180,434724
Florida,FL,19,FL-19,631233,84363,98336,192617,255917,300597,330636,622071,57652,15013,31918,179026,132446,57669,133020,82141,584302,215161,560813,40700,10868,N,N,11983,5755,82220,493017
Florida,FL,20,FL-20,507613,115723,128477,165897,97516,242726,264887,495390,73896,22815,51653,164095,121596,49310,65181,32963,433145,98144,194989,267487,16424,N,N,13700,13644,112325,106176
Florida,FL,21,FL-21,546101,86152,99308,171770,188871,255769,290332,542489,44811,15920,29421,131770,122330,49903,123034,73723,500760,196757,442544,70166,14383,N,N,7997,9671,92844,362151
Florida,FL,22,FL-22,534846,78782,113545,190781,151738,265302,269544,529036,45187,11245,25420,126205,108666,47172,132374,83764,498181,216138,424475,73958,12221,N,N,12100,10285,90007,350850
Florida,FL,23,FL-23,510212,92504,117316,176163,124229,242283,267929,508324,49339,13523,25571,115797,111399,54768,113290,75864,471118,189154,376188,69090,22271,N,N,23434,15871,183434,227022
Florida,FL,24,FL-24,477697,110275,123658,149155,94609,220770,256927,467414,77269,33910,47123,149787,97159,48600,67893,33225,396664,101118,198070,237909,6483,N,N,26447,8322,178950,58894
Florida,FL,25,FL-25,453055,89229,86737,148024,129065,212439,240616,447653,49424,37112,44368,123628,81421,47705,75738,43083,371575,118821,407167,25858,4428,N,N,9990,4862,308446,116776
Florida,FL,26,FL-26,476033,104526,107894,162965,100648,225950,250083,467075,53344,26938,38441,122547,103109,53290,91031,40677,410654,131708,380877,54631,7742,N,N,21939,7931,321023,91978
Florida,FL,27,FL-27,464604,84074,110349,152249,117932,222276,242328,457395,51044,26237,19467,94714,79566,42066,115805,86749,418900,202554,405950,26293,9428,N,N,15750,6918,316284,113859
Georgia,GA,1,GA-1,550713,124272,144285,173960,108196,265885,284828,528280,70331,13076,51187,178303,135737,43746,78779,49885,486450,128664,360901,162854,5574,N,N,5324,14172,23879,347055
Georgia,GA,2,GA-2,498322,116812,118050,158501,104959,237183,261139,464769,98551,20248,66390,169049,124627,39880,47500,30628,411684,78128,223803,254868,4892,N,N,5125,7955,15046,217005
Georgia,GA,3,GA-3,548941,116928,126353,192813,112847,261012,287929,537649,65079,12870,53250,171215,134661,41191,88304,47450,482821,135754,385375,139499,7484,N,N,6806,7837,21966,372018
Georgia,GA,4,GA-4,527938,116027,131388,188968,91555,243040,284898,523057,51138,12326,34628,144760,119360,50992,105484,60388,480984,165872,157491,337809,16867,N,N,7049,8048,22637,146089
Georgia,GA,5,GA-5,587385,173012,167225,162199,84949,276291,311094,551428,88065,9840,40514,143570,123885,33289,140361,95926,537031,236287,200392,348231,15960,N,N,7847,13397,22830,187309
Georgia,GA,6,GA-6,496468,80827,129906,192548,93187,243742,252726,493937,22372,3838,13518,62535,82370,26140,192675,115392,479112,308067,366714,68087,43350,3345,N,4973,9663,28564,346894
