State,District Number,Congressional District,Voting-Age Population,Men,Women
Virginia,7,VA-7,588061,278885,309176
Virginia,8,VA-8,533417,259240,274177
Virginia,9,VA-9,567315,281110,286205
Virginia,10,VA-10,565197,278318,286879
Virginia,11,VA-11,509988,252893,257095
Washington,1,WA-1,519555,259298,260257
Washington,2,WA-2,558321,277303,281018
Washington,3,WA-3,544994,267783,277211
Washington,4,WA-4,443137,219857,223280
Washington,5,WA-5,551532,270788,280744
Washington,6,WA-6,570991,286913,284078
Washington,7,WA-7,600321,299820,300501
Washington,8,WA-8,522952,255555,267397
Washington,9,WA-9,499184,249316,249868
Washington,10,WA-10,544552,269010,275542
West Virginia,1,WV-1,486327,240272,246055
West Virginia,2,WV-2,487208,238345,248863
West Virginia,3,WV-3,457623,222773,234850
Wisconsin,1,WI-1,539789,265317,274472
Wisconsin,2,WI-2,577976,282335,295641
Wisconsin,3,WI-3,566700,282813,283887
Wisconsin,4,WI-4,493143,231471,261672
Wisconsin,5,WI-5,558805,269326,289479
Wisconsin,6,WI-6,556485,279627,276858
Wisconsin,7,WI-7,552651,276779,275872
Wisconsin,8,WI-8,556205,275043,281162
Wyoming,At-large,WY-At-large,433644,219788,213856
