State Abbreviation,State,District Number,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Congressional District
OK,Oklahoma,3,571661,128376,136979,181404,124902,OK-3
OK,Oklahoma,4,589702,140663,148141,183691,117207,OK-4
OK,Oklahoma,5,561277,127461,145137,177443,111236,OK-5
OR,Oregon,1,606198,122267,156907,203271,123753,OR-1
OR,Oregon,2,619186,107760,137721,203375,170330,OR-2
OR,Oregon,3,627716,128785,192698,195594,110639,OR-3
OR,Oregon,4,638548,137856,131793,197411,171488,OR-4
OR,Oregon,5,606523,121244,135652,202365,147262,OR-5
PA,Pennsylvania,1,544860,92077,114576,208051,130156,PA-1
PA,Pennsylvania,2,496510,108907,131431,162980,93192,PA-2
PA,Pennsylvania,3,564612,163596,147436,155674,97906,PA-3
PA,Pennsylvania,4,543723,93110,126725,196830,127058,PA-4
PA,Pennsylvania,5,519983,107792,123762,176758,111671,PA-5
PA,Pennsylvania,6,522912,104793,115963,186198,115958,PA-6
PA,Pennsylvania,7,552078,112979,120075,190234,128790,PA-7
PA,Pennsylvania,8,535133,96758,111460,191872,135043,PA-8
PA,Pennsylvania,9,555775,101991,113868,200346,139570,PA-9
PA,Pennsylvania,10,552761,104026,132749,190256,125730,PA-10
PA,Pennsylvania,11,553568,108179,121027,190275,134087,PA-11
PA,Pennsylvania,12,551022,123316,110831,183226,133649,PA-12
PA,Pennsylvania,13,545111,95067,111055,195512,143477,PA-13
PA,Pennsylvania,14,551164,92479,113121,199732,145832,PA-14
PA,Pennsylvania,15,548615,103760,109888,194162,140805,PA-15
PA,Pennsylvania,16,539710,105421,112260,188904,133125,PA-16
PA,Pennsylvania,17,559285,89713,129224,201518,138830,PA-17
PA,Pennsylvania,18,544390,124197,125413,167548,127232,PA-18
RI,Rhode Island,1,395409,86516,88010,131729,89154,RI-1
RI,Rhode Island,2,407668,90505,86605,142807,87751,RI-2
SC,South Carolina,1,613912,117100,152845,199262,144705,SC-1
SC,South Carolina,2,537342,112273,126169,183210,115690,SC-2
SC,South Carolina,3,534772,110832,113351,180995,129594,SC-3
SC,South Carolina,4,533533,114689,122139,181414,115291,SC-4
SC,South Carolina,5,552247,107394,130685,191844,122324,SC-5
SC,South Carolina,6,506843,135079,116303,151193,104268,SC-6
SC,South Carolina,7,571428,100281,116934,194600,159613,SC-7
SD,South Dakota,At-large,647089,135924,154204,211141,145820,SD-At-large
TN,Tennessee,1,563918,101879,115573,199303,147163,TN-1
TN,Tennessee,2,583056,126317,126787,195284,134668,TN-2
TN,Tennessee,3,571456,107332,127851,199140,137133,TN-3
TN,Tennessee,4,590540,131798,139598,202170,116974,TN-4
TN,Tennessee,5,563797,138645,154933,174676,95543,TN-5
TN,Tennessee,6,591603,110663,133871,208991,138078,TN-6
TN,Tennessee,7,578288,115496,148381,198625,115786,TN-7
TN,Tennessee,8,525277,95988,118670,187803,122816,TN-8
TN,Tennessee,9,507231,128416,126301,164660,87854,TN-9
TX,Texas,1,511974,116139,115651,162219,117965,TX-1
TX,Texas,2,520180,110982,153422,165265,90511,TX-2
TX,Texas,3,563318,107159,151459,211761,92939,TX-3
TX,Texas,4,543354,101034,130722,185907,125691,TX-4
TX,Texas,5,480610,99057,124188,157352,100013,TX-5
TX,Texas,6,554709,125279,151253,187069,91108,TX-6
TX,Texas,7,448262,94925,122431,152485,78421,TX-7
TX,Texas,8,584039,114865,153896,199843,115435,TX-8
TX,Texas,9,445634,125106,112131,138785,69612,TX-9
TX,Texas,10,593629,124192,163629,195137,110671,TX-10
TX,Texas,11,542570,125640,132612,164392,119926,TX-11
TX,Texas,12,572411,126234,147586,195434,103157,TX-12
TX,Texas,13,493390,107099,120804,159812,105675,TX-13
TX,Texas,14,532153,110575,137967,180436,103175,TX-14
TX,Texas,15,435170,127796,109100,126966,71308,TX-15
TX,Texas,16,458940,133726,123299,124935,76980,TX-16
TX,Texas,17,550601,171731,129226,155299,94345,TX-17
TX,Texas,18,480387,126644,138713,144541,70489,TX-18
TX,Texas,19,509891,141466,125507,145193,97725,TX-19
TX,Texas,20,549483,160406,149365,153772,85940,TX-20
TX,Texas,21,622228,142173,157270,194292,128493,TX-21
TX,Texas,22,577164,115523,160247,205845,95549,TX-22
TX,Texas,23,507547,122847,136998,153042,94660,TX-23
TX,Texas,24,503766,107198,135318,175632,85618,TX-24
TX,Texas,25,570238,120182,151528,184393,114135,TX-25
TX,Texas,26,605249,131803,172846,213256,87344,TX-26
TX,Texas,27,517267,108956,128370,165306,114635,TX-27
TX,Texas,28,434305,116088,112878,130291,75048,TX-28
TX,Texas,29,369239,115825,94998,111250,47166,TX-29
TX,Texas,30,479082,122989,120418,156127,79548,TX-30
TX,Texas,31,602236,137130,172836,190521,101749,TX-31
TX,Texas,32,505867,120849,127369,166856,90793,TX-32
TX,Texas,33,360226,107457,87377,109125,56267,TX-33
TX,Texas,34,424863,111405,105261,121813,86384,TX-34
TX,Texas,35,532967,152919,153805,151784,74459,TX-35
TX,Texas,36,519385,111025,124400,176585,107375,TX-36
UT,Utah,1,521517,138536,148842,151996,82143,UT-1
UT,Utah,2,529608,137185,146798,143419,102206,UT-2
UT,Utah,3,517848,166076,129325,139150,83297,UT-3
UT,Utah,4,518368,125929,171294,144381,76764,UT-4
VT,Vermont,At-large,500274,100387,103384,173821,122682,VT-At-large
VA,Virginia,1,590281,115999,141411,210432,122439,VA-1
VA,Virginia,2,559397,140647,136454,172710,109586,VA-2
VA,Virginia,3,559137,144935,140818,174813,98571,VA-3
VA,Virginia,4,579606,127615,141627,196356,114008,VA-4
VA,Virginia,5,578531,109871,121923,197536,149201,VA-5
VA,Virginia,6,582756,131680,119755,191356,139965,VA-6
VA,Virginia,7,588061,108547,142947,210231,126336,VA-7
VA,Virginia,8,533417,109243,168603,166271,89300,VA-8
VA,Virginia,9,567315,119009,111192,191661,145453,VA-9
VA,Virginia,10,565197,98594,144436,219463,102704,VA-10
VA,Virginia,11,509988,108065,133940,181280,86703,VA-11
WA,Washington,1,519555,89058,139221,193442,97834,WA-1
WA,Washington,2,558321,127235,132695,177757,120634,WA-2
WA,Washington,3,544994,98922,130162,188493,127417,WA-3
WA,Washington,4,443137,101079,104005,139372,98681,WA-4
WA,Washington,5,551532,128261,125417,173298,124556,WA-5
WA,Washington,6,570991,105695,133343,185911,146042,WA-6
WA,Washington,7,600321,143720,177404,169461,109736,WA-7
WA,Washington,8,522952,90974,129726,201383,100869,WA-8
WA,Washington,9,499184,104339,134537,163081,97227,WA-9
WA,Washington,10,544552,127027,139911,168782,108832,WA-10
WV,West Virginia,1,486327,101752,104414,159942,120219,WV-1
WV,West Virginia,2,487208,85419,110323,172084,119382,WV-2
WV,West Virginia,3,457623,80052,100024,157192,120355,WV-3
WI,Wisconsin,1,539789,97284,122993,202358,117154,WI-1
WI,Wisconsin,2,577976,140415,138504,184902,114155,WI-2
WI,Wisconsin,3,566700,132563,118693,186191,129253,WI-3
WI,Wisconsin,4,493143,130598,127685,150055,84805,WI-4
WI,Wisconsin,5,558805,98106,131851,197688,131160,WI-5
WI,Wisconsin,6,556485,102408,122332,200105,131640,WI-6
WI,Wisconsin,7,552651,86048,115957,206377,144269,WI-7
WI,Wisconsin,8,556205,101057,128912,200720,125516,WI-8
WY,Wyoming,At-large,433644,86967,106361,144337,95979,WY-At-large
