Year,State,State Abbreviation,District Number,Special Election,Candidate,Party,Candidate Votes,Total Votes,Candidate Percent
2018,Hawaii,HI,statewide,False,Mazie K. Hirono,democrat,276316,388351,0.7115109784705074
2018,Hawaii,HI,statewide,False,Ron Curtis,republican,112035,388351,0.28848902152949263
2018,Indiana,IN,statewide,False,Mike Braun,republican,1158000,2282565,0.507323997345092
2018,Indiana,IN,statewide,False,Joe Donnelly,democrat,1023553,2282565,0.44842227932172796
2018,Indiana,IN,statewide,False,Lucy M. Brenton,other,100942,2282565,0.044223056079454474
2018,Indiana,IN,statewide,False,,other,70,2282565,3.06672537255237e-05
2018,Maine,ME,statewide,False,Eric L. Brakey,republican,223502,634409,0.35229954177825346
2018,Maine,ME,statewide,False,"Angus S. King, Jr.",other,344575,634409,0.5431433034525046
2018,Maine,ME,statewide,False,Zak Ringelstein,democrat,66268,634409,0.10445627347657425
2018,Maine,ME,statewide,False,Others,other,64,634409,0.00010088129266766392
2018,Maryland,MD,statewide,False,Tony Campbell,republican,697017,2299889,0.3030654957695784
2018,Maryland,MD,statewide,False,Ben Cardin,democrat,1491614,2299889,0.6485591261143473
2018,Maryland,MD,statewide,False,Arvin Vohra,other,22943,2299889,0.00997569882720427
2018,Maryland,MD,statewide,False,Neal Simon,other,85964,2299889,0.03737745604244379
2018,Maryland,MD,statewide,False,,other,2351,2299889,0.0010222232464262406
2018,Massachusetts,MA,statewide,False,Elizabeth A. Warren,democrat,1633371,2707090,0.6033678230129031
2018,Massachusetts,MA,statewide,False,Geoff Diehl,republican,979210,2707090,0.3617205190813752
2018,Massachusetts,MA,statewide,False,Shiva Ayyadurai,other,91710,2707090,0.033877706319331825
2018,Massachusetts,MA,statewide,False,Others,other,2799,2707090,0.0010339515863898134
2018,Michigan,MI,statewide,False,John James,republican,1938818,4237271,0.45756289838436104
2018,Michigan,MI,statewide,False,Debbie Stabenow,democrat,2214478,4237271,0.5226189214709184
2018,Michigan,MI,statewide,False,George E. Huffman III,other,27251,4237271,0.00643126200802356
2018,Michigan,MI,statewide,False,Marcia Squier,other,40204,4237271,0.009488182370209505
2018,Michigan,MI,statewide,False,John Howard Wilhelm,other,16502,4237271,0.003894487749308458
2018,Michigan,MI,statewide,False,,other,18,4237271,4.2480171789814716e-06
2018,Minnesota,MN,statewide,False,Jim Newberger,republican,940437,5184235,0.1814032349999566
2018,Minnesota,MN,statewide,False,Amy Klobuchar,other,1566174,5184235,0.3021032032691419
2018,Minnesota,MN,statewide,False,Dennis Schuller,other,66236,5184235,0.012776426994532462
2018,Minnesota,MN,statewide,False,Paula M Overby,other,23101,5184235,0.004456009420869231
2018,Minnesota,MN,statewide,False,,other,931,5184235,0.00017958290856799508
2018,Minnesota,MN,statewide,True,Karin Housley,republican,1095777,5184235,0.21136715445962614
2018,Minnesota,MN,statewide,True,Tina Smith,other,1370540,5184235,0.2643668738010526
2018,Minnesota,MN,statewide,True,Sarah Wellington,other,95614,5184235,0.01844322257768022
2018,Minnesota,MN,statewide,True,Jerry Trooien,other,24324,5184235,0.004691916936635781
2018,Minnesota,MN,statewide,True,,other,1101,5184235,0.00021237463193701675
2018,Mississippi,MS,statewide,False,David Baria,democrat,369567,1843803,0.2004373569193672
2018,Mississippi,MS,statewide,False,Roger F. Wicker,republican,547619,1843803,0.297005157275479
2018,Mississippi,MS,statewide,False,Danny Bedwell,other,12981,1843803,0.007040339992938508
2018,Mississippi,MS,statewide,False,Shawn O'Hara,other,6048,1843803,0.003280176895253994
2018,Mississippi,MS,statewide,True,Cindy Hyde-Smith,republican,486769,1843803,0.26400271612531273
2018,Mississippi,MS,statewide,True,Mike Espy,democrat,420819,1843803,0.22823425279164858
2018,Missouri,MO,statewide,False,Josh Hawley,republican,1254927,2442289,0.5138323105905976
2018,Missouri,MO,statewide,False,Claire McCaskill,democrat,1112935,2442289,0.4556934089290825
2018,Missouri,MO,statewide,False,Japheth Campbell,other,27316,2442289,0.01118458953874828
2018,Missouri,MO,statewide,False,Jo Crain,other,12706,2442289,0.0052024965104457335
2018,Missouri,MO,statewide,False,Craig O'Dear,other,34398,2442289,0.01408432826745729
2018,Missouri,MO,statewide,False,,other,7,2442289,2.8661636685912274e-06
2018,Montana,MT,statewide,False,Jon Tester,democrat,253876,504384,0.5033387260499936
2018,Montana,MT,statewide,False,Rick Breckenridge,other,14545,504384,0.02883715581778962
2018,Montana,MT,statewide,False,Matt Rosendale,republican,235963,504384,0.46782411813221675
2018,Nebraska,NE,statewide,False,Deb Fischer,republican,403151,698883,0.576850488565325
2018,Nebraska,NE,statewide,False,Jane Raybould,democrat,269917,698883,0.38621199828869784
2018,Nebraska,NE,statewide,False,Jim Schultz,other,25349,698883,0.03627073487264678
2018,Nebraska,NE,statewide,False,,other,466,698883,0.0006667782733304431
2018,Nevada,NV,statewide,False,Jacky Rosen,democrat,490071,972132,0.5041198108898791
2018,Nevada,NV,statewide,False,Dean Heller,republican,441202,972132,0.4538498886982426
2018,Nevada,NV,statewide,False,None of these Candidates,other,15303,972132,0.01574168940020491
2018,Nevada,NV,statewide,False,Barry Michaels,other,9269,972132,0.009534713392831426
2018,Nevada,NV,statewide,False,Tim Hagan,other,9196,972132,0.00945962070994474
2018,Nevada,NV,statewide,False,Kamau A. Bakari,other,7091,972132,0.007294276908897146
2018,New Jersey,NJ,statewide,False,Robert Menendez,democrat,1711654,3169310,0.5400714982125446
2018,New Jersey,NJ,statewide,False,Bob Hugin,republican,1357355,3169310,0.42828091919061245
2018,New Jersey,NJ,statewide,False,Madelyn R. Hoffman,other,25150,3169310,0.00793548122461987
2018,New Jersey,NJ,statewide,False,Murray Sabrin,other,21212,3169310,0.006692939472629689
2018,New Jersey,NJ,statewide,False,Natalie Lynn Rivera,other,19897,3169310,0.006278022661083959
2018,New Jersey,NJ,statewide,False,Tricia Flanagan,other,16101,3169310,0.005080285614218868
2018,New Jersey,NJ,statewide,False,Kevin Kimple,other,9087,3169310,0.0028671856019133503
2018,New Jersey,NJ,statewide,False,Hank Schroeder,other,8854,3169310,0.0027936680223771106
2018,New Mexico,NM,statewide,False,Martin T Heinrich,democrat,376998,697012,0.540877345009842
2018,New Mexico,NM,statewide,False,Gary E Johnson,other,107201,697012,0.15380079539520122
2018,New Mexico,NM,statewide,False,Mick Rich,republican,212813,697012,0.3053218595949568
2018,New York,NY,statewide,False,Kirsten E. Gillibrand,democrat,3755489,6055151,0.6202139302554139
2018,New York,NY,statewide,False,Chele Chiavacci Farley,republican,1730439,6055151,0.2857796609861587
